SIZE,CORES,INPUT,REORDER,SCATTER,FFT,GATHER
2^25,1,4.40,4.93,0.00,21.95,0.00
2^25,2,4.25,4.43,0.15,11.09,0.61
2^25,4,4.45,4.99,0.16,6.06,0.75
2^25,8,4.93,5.36,0.21,3.46,0.89
2^25,16,5.15,5.40,0.25,2.46,0.93

2^26,1,8.81,9.97,0.00,45.67,0.00
2^26,2,8.49,9.05,0.30,23.09,1.07
2^26,4,8.91,10.07,0.37,12.37,1.63
2^26,8,9.43,9.77,0.44,6.96,1.88
2^26,16,10.65,10.25,0.46,3.83,1.99

2^27,1,17.89,18.52,0.00,94.66,0.00
2^27,2,17.69,20.41,0.45,48.53,3.10
2^27,4,17.00,18.51,0.77,25.71,3.84
2^27,8,19.74,22.11,1.02,14.65,3.95
2^27,16,20.21,22.19,1.92,8.33,4.17

2^28,1,33.97,38.17,0.00,196.42,0.00
2^28,2,35.20,41.95,1.00,100.31,6.38
2^28,4,35.47,42.23,1.49,53.52,6.16
2^28,8,40.65,44.91,1.81,31.50,8.28
2^28,16,45.33,45.24,2.00,17.77,9.04

2^29,1,54.25,73.07,0.00,326.40,11.07
2^29,2,54.42,73.25,1.69,172.75,8.58
2^29,4,54.23,73.25,2.52,90.11,10.60
2^29,8,54.37,73.20,2.90,47.76,11.37
2^29,16,58.20,75.83,3.10,27.45,11.16
