SIZE,CORES,INPUT,REORDER,SCATTER,FFT,GATHER,MULTIPLY
2^25,1,10.01,20.01,0.00,101.74,0.00,1.48
2^25,2,9.50,22.68,0.69,45.88,3.91,1.29
2^25,4,9.00,17.89,0.76,24.25,3.95,0.92
2^25,8,11.09,21.23,0.82,14.56,4.04,1.05

2^26,1,18.67,40.00,0.00,189.24,0.00,2.37
2^26,2,18.69,40.06,0.71,96.77,6.25,2.06
2^26,4,20.00,38.82,1.63,51.60,6.26,1.86
2^26,8,21.03,45.92,1.79,30.39,8.52,2.24

2^27,1,42.64,81.61,0.00,396.05,0.00,4.62
2^27,2,37.69,87.70,1.86,201.20,13.57,4.39
2^27,4,36.16,78.39,3.28,106.01,15.46,3.70
2^27,8,41.79,88.76,4.10,61.80,16.58,5.06

2^28,1,73.17,163.64,0.00,827.05,0.00,8.39
2^28,2,75.89,169.10,3.81,422.15,26.32,9.62
2^28,4,77.00,170.51,6.83,224.49,27.10,9.73
2^28,8,83.29,185.85,8.46,128.34,39.74,8.29
